Player,Pos,Age,Team,Games,Gms_started,MinPerG,FG,FGA,FG_pct,3P,3PA,3P_pct,2P,2PA,2P_pct,eFG_pct,FT,FTA,FT_pct,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB_pct,DRB_pct,TRB_pct,AST_pct,STL_pct,BLK_pct,TOV_pct,USG,OWS,DWS,WS,WSp48,OBPM,DBPM,BPM,VORP,Intercept,
Precious Achiuwa\achiupr01,PF,21,MIA,57,3,12,2,3.6,0.538,0,0,0,2,3.6,0.538,0.538,0.9,1.8,0.515,1.2,2.2,3.5,0.5,0.3,0.5,0.7,1.5,4.9,13.9,0.547,0,0.495,11.8,20.6,16.3,6.2,1.3,4,13.9,19.3,0.2,1,1.2,0.085,-3.6,-0.8,-4.4,-0.4,1,
Jaylen Adams\adamsja01,PG,24,MIL,7,0,2.6,0.1,1.1,0.125,0,0.3,0,0.1,0.9,0.167,0.125,0,0,,0,0.4,0.4,0.3,0,0,0,0.1,0.3,-6.5,0.125,0.25,0,0,16.9,8.8,12.8,0,0,0,18.7,-0.1,0,-0.1,-0.249,-14.9,-5,-19.8,-0.1,1,
Steven Adams\adamsst01,C,27,NOP,57,57,27.7,3.3,5.4,0.62,0,0.1,0,3.3,5.3,0.626,0.62,1,2.3,0.444,3.7,5.2,8.9,1.9,0.9,0.6,1.4,2,7.7,15.4,0.601,0.01,0.436,14.8,20.3,17.6,9,1.6,2.2,17.7,11.8,2.4,1.6,4,0.12,-0.2,-0.5,-0.7,0.5,1,
Bam Adebayo\adebaba01,C,23,MIA,58,58,33.5,7.2,12.7,0.569,0,0.1,0.25,7.2,12.6,0.573,0.57,4.6,5.7,0.802,2.3,6.8,9.1,5.3,1.1,1.1,2.7,2.2,19.1,23,0.626,0.011,0.446,7.9,22.6,15.4,27,1.7,3.3,14.9,24,5.1,3,8.1,0.2,3,1.9,4.9,3.4,1,
LaMarcus Aldridge\aldrila01,C,35,TOT,26,23,25.9,5.4,11.4,0.473,1.2,3.1,0.388,4.2,8.3,0.505,0.525,1.6,1.8,0.872,0.7,3.8,4.5,1.9,0.4,1.1,1,1.8,13.5,15.7,0.556,0.27,0.159,3,15.8,9.4,11,0.8,3.7,7.9,22.2,0.5,0.7,1.2,0.084,-0.2,-0.4,-0.6,0.2,1,
LaMarcus Aldridge\aldrila01,C,35,SAS,21,18,25.9,5.5,11.8,0.464,1.3,3.6,0.36,4.2,8.2,0.509,0.518,1.5,1.8,0.838,0.8,3.7,4.5,1.7,0.4,0.9,1,1.7,13.7,15.1,0.545,0.302,0.149,3.3,15.3,9.2,10.2,0.7,2.8,7,22.8,0.3,0.5,0.8,0.072,-0.2,-1,-1.2,0.1,1,
LaMarcus Aldridge\aldrila01,C,35,BRK,5,5,26,5,9.6,0.521,0.8,1,0.8,4.2,8.6,0.488,0.563,2,2,1,0.4,4.4,4.8,2.6,0.6,2.2,1.4,2.2,12.8,18.2,0.611,0.104,0.208,1.8,18,10.2,14.3,1.1,7.4,11.8,19.8,0.2,0.2,0.4,0.136,-0.2,1.9,1.7,0.1,1,
Ty-Shon Alexander\alexaty01,SG,22,PHO,11,0,3.1,0.2,1,0.182,0.1,0.7,0.125,0.1,0.3,0.333,0.227,0.1,0.2,0.5,0.1,0.4,0.5,0.2,0,0.1,0.2,0.1,0.5,-2.1,0.253,0.727,0.182,3.4,13,8.3,7.1,0,2.7,14.4,18.2,-0.2,0,-0.1,-0.178,-9.4,-3.8,-13.2,-0.1,1,
Nickeil Alexander-Walker\alexani01,SG,22,NOP,41,10,20.8,3.9,9.2,0.418,1.6,4.6,0.348,2.3,4.7,0.487,0.504,1,1.3,0.75,0.2,2.8,3.1,2,1,0.5,1.4,1.9,10.2,12.5,0.524,0.495,0.138,1.3,14.8,8.1,13.7,2.3,2.3,12.4,22.7,-0.2,0.9,0.7,0.037,-1.6,-0.1,-1.7,0.1,1,
Grayson Allen\allengr01,SG,25,MEM,48,36,25.6,3.6,8.5,0.423,2.2,5.6,0.396,1.4,2.9,0.475,0.554,1.6,1.8,0.862,0.4,2.9,3.2,2.1,0.9,0.2,1,1.5,11,13,0.59,0.66,0.213,1.5,12,6.7,11.2,1.7,0.6,9.5,17,1.5,1.2,2.6,0.104,-0.3,-0.1,-0.3,0.5,1,
Jarrett Allen\allenja01,C,22,TOT,55,37,29.3,4.9,7.6,0.641,0.1,0.3,0.357,4.8,7.3,0.651,0.647,3.3,4.7,0.711,3.1,6.9,10,1.6,0.5,1.5,1.5,1.6,13.1,21.1,0.681,0.033,0.612,11.6,26.8,19.1,8.4,0.8,4.7,13.8,16.7,4.2,1.9,6.2,0.183,1.9,-0.2,1.7,1.5,1,
Jarrett Allen\allenja01,C,22,BRK,12,5,26.7,3.7,5.4,0.677,0,0,,3.7,5.4,0.677,0.677,3.8,5.1,0.754,3.2,7.3,10.4,1.7,0.6,1.6,1.8,1.8,11.2,21.5,0.73,0,0.938,13.8,28.9,21.7,8.3,1.1,5.2,19.3,15.5,1,0.5,1.4,0.215,1.3,0.6,1.9,0.3,1,
Jarrett Allen\allenja01,C,22,CLE,43,32,30.1,5.2,8.2,0.635,0.1,0.3,0.357,5.1,7.9,0.646,0.642,3.2,4.5,0.697,3,6.8,9.9,1.6,0.5,1.5,1.5,1.5,13.7,21,0.671,0.04,0.552,11,26.2,18.5,8.5,0.8,4.5,12.6,17,3.3,1.5,4.7,0.176,2,-0.4,1.6,1.2,1,
Al-Farouq Aminu\aminual01,PF,30,TOT,22,14,19,1.7,4.5,0.388,0.4,1.6,0.222,1.4,2.8,0.484,0.429,0.7,0.9,0.842,1,3.8,4.8,1.4,0.8,0.4,1.3,1.2,4.5,8.9,0.47,0.367,0.194,5.1,21.8,13.2,10.5,2.1,2,20.8,13.9,-0.4,0.5,0.1,0.01,-4.9,0.9,-4,-0.2,1,
Al-Farouq Aminu\aminual01,PF,30,ORL,17,14,21.6,2.1,5.2,0.404,0.4,1.8,0.226,1.7,3.4,0.5,0.444,0.8,1,0.824,1.2,4.2,5.4,1.7,1,0.5,1.5,1.3,5.5,10,0.482,0.348,0.191,5.5,21,12.9,11.3,2.3,2.3,20.6,14.3,-0.3,0.5,0.1,0.018,-4.4,1.2,-3.3,-0.1,1,
Al-Farouq Aminu\aminual01,PF,30,CHI,5,0,10.2,0.4,1.8,0.222,0.2,1,0.2,0.2,0.8,0.25,0.278,0.4,0.4,1,0.2,2.6,2.8,0.4,0.2,0,0.6,1,1.4,1.4,0.354,0.556,0.222,2.2,28.1,15.3,4.7,0.9,0,23.3,10.9,-0.1,0.1,-0.1,-0.054,-8.6,-0.7,-9.3,-0.1,1,
Kyle Anderson\anderky01,PF,27,MEM,61,61,27.2,4.4,9.6,0.463,1.3,3.8,0.349,3.1,5.8,0.537,0.532,2,2.6,0.781,0.8,5.1,5.9,3.5,1.3,0.8,1.2,1.7,12.2,17.1,0.57,0.393,0.274,3.1,20.3,11.5,17.7,2.2,2.7,10.3,18.6,2.3,2.5,4.8,0.139,1.2,1.7,2.9,2.1,1,
Giannis Antetokounmpo\antetgi01,PF,26,MIL,54,54,33.1,10.3,18.1,0.568,1.1,3.6,0.313,9.2,14.5,0.632,0.599,6.6,9.7,0.682,1.6,9.5,11.1,5.9,1.2,1.3,3.5,2.7,28.4,29.4,0.633,0.199,0.533,5.4,29,17.6,29.1,1.7,3.4,13.6,32.9,6,3.1,9.2,0.247,6.3,2.8,9.1,5,1,
Kostas Antetokounmpo\antetko01,PF,23,LAL,14,0,3.8,0.2,0.7,0.3,0,0,,0.2,0.7,0.3,0.3,0.4,0.9,0.462,0.3,1.1,1.4,0.1,0.1,0.3,0.7,0.5,0.9,1.2,0.382,0,1.3,8.6,31.3,20.1,2.4,1.8,6.7,38.9,21.1,-0.3,0.1,-0.2,-0.158,-12.3,0.4,-12,-0.1,1,
Thanasis Antetokounmpo\antetth01,SF,28,MIL,51,2,10,1.3,2.5,0.515,0.1,0.5,0.259,1.2,2,0.583,0.542,0.4,0.8,0.463,1.1,1.3,2.4,0.8,0.4,0.2,0.8,1.4,3.1,11.1,0.54,0.208,0.315,11.5,13.5,12.6,10.6,1.8,1.7,21.7,15.5,0.1,0.6,0.7,0.069,-3.2,-0.2,-3.4,-0.2,1,
Carmelo Anthony\anthoca01,PF,36,POR,63,3,24.7,4.8,11.5,0.421,1.9,4.7,0.403,2.9,6.8,0.433,0.503,2,2.3,0.883,0.5,2.7,3.2,1.5,0.7,0.6,0.9,2.1,13.6,14.8,0.544,0.411,0.2,2.1,12.1,6.9,9.4,1.4,2,7,23.4,1.5,0.7,2.2,0.069,0,-1.6,-1.6,0.2,1,
Cole Anthony\anthoco01,PG,20,ORL,39,26,27.3,4.5,11.4,0.397,1.2,3.6,0.331,3.4,7.9,0.427,0.448,2.2,2.6,0.824,0.8,3.8,4.6,4.3,0.7,0.4,2,2.1,12.4,12.5,0.493,0.312,0.229,3.1,15,8.9,25.2,1.2,1.5,13.9,23.2,-0.4,0.8,0.4,0.017,-1.7,-0.9,-2.6,-0.2,1,
OG Anunoby\anunoog01,SF,23,TOR,43,43,33.3,5.8,12.1,0.48,2.4,6.1,0.398,3.4,6,0.562,0.58,1.9,2.4,0.784,1.3,4.3,5.5,2.2,1.5,0.7,1.7,2.7,15.9,15.4,0.605,0.503,0.197,4,14.5,9.1,10,2.2,2.2,11.7,19.3,1.5,1.6,3.2,0.106,0.6,0.3,1,1.1,1,
Ryan Arcidiacono\arcidry01,PG,26,CHI,39,0,10.6,1.1,2.6,0.398,0.5,1.5,0.328,0.6,1.2,0.489,0.49,0.3,0.5,0.65,0.1,1.4,1.5,1.3,0.2,0,0.2,1.1,2.9,8.8,0.51,0.563,0.194,1.4,14.7,8.1,15.3,0.9,0,6.7,12.6,0.3,0.3,0.6,0.074,-3.3,-0.1,-3.4,-0.2,1,
Trevor Ariza\arizatr01,SF,35,MIA,24,21,27.3,3.1,7.6,0.407,1.6,4.6,0.345,1.5,3,0.5,0.511,1.2,1.6,0.737,0.8,3.8,4.6,1.9,0.9,0.7,0.7,1.7,8.9,11.6,0.538,0.604,0.209,3.5,15.5,9.6,10,1.6,2.6,7.9,14.8,0.4,0.8,1.2,0.089,-1.6,0.3,-1.3,0.1,1,
D.J. Augustin\augusdj01,PG,33,TOT,51,6,19.2,2.2,5.6,0.385,1.3,3.5,0.374,0.8,2.1,0.402,0.502,1.4,1.5,0.932,0.4,1.3,1.6,3.3,0.5,0,1.1,1,7,11.7,0.559,0.626,0.259,2,6.9,4.4,22.2,1.3,0.1,14.7,16.1,1.3,0.6,1.9,0.091,-0.7,-1.2,-1.9,0,1,
D.J. Augustin\augusdj01,PG,33,MIL,37,6,19.3,1.9,5.2,0.37,1.3,3.5,0.38,0.6,1.7,0.349,0.497,1,1.1,0.9,0.3,1.1,1.4,3,0.5,0,0.9,0.9,6.1,10.2,0.542,0.672,0.208,1.7,5.5,3.7,18.7,1.3,0.1,14,14.3,0.8,0.5,1.2,0.084,-1,-1.1,-2.1,0,1,
D.J. Augustin\augusdj01,PG,33,HOU,14,0,19.1,2.8,6.7,0.415,1.3,3.6,0.36,1.5,3.1,0.477,0.511,2.4,2.4,0.971,0.5,1.8,2.3,4,0.4,0,1.5,1.3,9.2,15.6,0.592,0.532,0.362,2.7,10.3,6.3,31.5,1.1,0,16.2,20.6,0.5,0.1,0.6,0.11,-0.1,-1.5,-1.6,0,1,
Deni Avdija\avdijde01,SF,20,WAS,54,32,23.3,2.4,5.8,0.417,1,3.1,0.315,1.4,2.7,0.535,0.502,0.5,0.8,0.644,0.4,4.4,4.9,1.2,0.6,0.3,0.6,2.6,6.3,7.6,0.515,0.538,0.144,1.9,20.2,11.1,6.4,1.2,1,9,12.1,0,1.2,1.2,0.047,-3.6,-0.3,-3.9,-0.6,1,
Deandre Ayton\aytonde01,C,22,PHO,64,64,30.6,6.3,10.2,0.619,0.1,0.3,0.2,6.2,9.9,0.632,0.622,2,2.6,0.762,3.3,7.3,10.7,1.4,0.6,1.1,1.5,2.9,14.6,20.2,0.646,0.031,0.252,12.5,26.5,19.6,6.9,0.9,3.3,11.9,18.6,4.8,3,7.8,0.192,0.8,0,0.8,1.4,1,
Udoka Azubuike\azubuud01,C,21,UTA,12,0,4.1,0.3,0.6,0.571,0,0,,0.3,0.6,0.571,0.571,0.3,0.5,0.667,0.3,0.8,1.1,0,0.1,0.3,0.3,0.7,1,10.5,0.622,0,0.857,9,18.6,14,0,1,6.6,23.7,11.1,0,0.1,0.1,0.111,-5.5,1.2,-4.3,0,1,
