Player,Pos,Age,Team,Games,Gms_started,MinPerG,FG,FGA,FG_pct,3P,3PA,3P_pct,2P,2PA,2P_pct,eFG_pct,FT,FTA,FT_pct,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB_pct,DRB_pct,TRB_pct,AST_pct,STL_pct,BLK_pct,TOV_pct,USG,OWS,DWS,WS,WSp48,OBPM,DBPM,BPM,VORP,Intercept,mvp score
Precious Achiuwa\achiupr01,C,22,TOR,21,17,26.5,3.4,8.8,0.386,0.3,1.2,0.269,3,7.5,0.405,0.405,0.9,1.7,0.543,2.3,5.9,8.2,1.6,0.5,0.6,1.1,2.5,8,10.4,0.421,0.141,0.19,9,25.6,16.8,8.6,1,2.1,10.3,17.2,-0.2,0.6,0.4,0.032,-3.5,-1.2,-4.7,-0.4,1,
Steven Adams\adamsst01,C,28,MEM,27,27,24.9,2.6,4.9,0.527,0,0,,2.6,4.9,0.527,0.527,1.9,3,0.61,3.9,4.9,8.7,2.7,0.8,0.7,1.7,1.7,7,16.7,0.563,0,0.626,16.2,21.4,18.8,14.3,1.6,2.5,22,13.4,1.1,0.6,1.7,0.122,0.2,-1.2,-1.1,0.2,1,
LaMarcus Aldridge\aldrila01,C,36,BRK,25,8,23.6,6,10.4,0.573,0.4,1.2,0.367,5.5,9.2,0.6,0.594,1.6,1.9,0.833,1.4,4.3,5.7,0.9,0.4,1.2,0.8,1.7,14,21.5,0.621,0.115,0.185,6.6,18.4,12.8,6.7,0.8,4.4,6.3,22.3,1.4,0.8,2.3,0.187,2.1,-0.6,1.6,0.5,1,
Nickeil Alexander-Walker\alexani01,SG,23,NOP,29,18,28.4,5.1,13.9,0.367,2.1,6.7,0.311,3,7.2,0.419,0.442,1.4,1.8,0.769,1,2.8,3.9,2.6,1,0.4,1.5,1.9,13.7,11.5,0.465,0.479,0.129,3.8,11.1,7.3,14.8,1.7,1.2,9.2,24.2,-0.3,0.4,0.1,0.005,-1.3,-2,-3.3,-0.3,1,
Grayson Allen\allengr01,SG,26,MIL,27,27,28.7,4.5,10,0.448,3,7.1,0.417,1.5,2.9,0.526,0.596,1.1,1.3,0.853,0.5,3.1,3.6,1.3,0.7,0.3,0.7,1.4,13,14.3,0.616,0.711,0.126,1.8,11.2,6.6,6.7,1.1,1,5.9,16.8,1.5,0.7,2.2,0.139,1.8,-1.2,0.6,0.5,1,
Jarrett Allen\allenja01,C,23,CLE,25,25,33.3,7,10,0.707,0,0.2,0.167,7,9.7,0.72,0.709,3.2,4.5,0.708,3.2,8,11.2,1.8,1,1.4,2,1.8,17.3,24.4,0.725,0.024,0.454,10.6,25.5,18.3,9.2,1.4,3.6,14.1,18.2,2.8,1.6,4.4,0.256,3,1.6,4.6,1.4,1,
Kyle Anderson\anderky01,PF,28,MEM,23,3,21.7,3.2,7.3,0.443,0.8,2.3,0.358,2.4,5,0.482,0.5,0.9,1.4,0.636,1,4.2,5.3,2.5,0.9,0.6,1,1.5,8.2,15.1,0.518,0.317,0.198,5,21.2,13,16.2,2,2.4,11.2,17.2,0.5,0.5,1,0.099,-0.1,-0.3,-0.4,0.2,1,
Giannis Antetokounmpo\antetgi01,PF,27,MIL,25,25,32.6,9.6,18.2,0.531,1.1,3.9,0.289,8.5,14.3,0.597,0.562,6.9,10.2,0.678,2.1,9.6,11.7,5.9,1.1,1.6,3.3,3.1,27.3,31.1,0.603,0.214,0.562,6.8,30.1,18.8,33.7,1.7,5,12.7,34,3.2,1.6,4.8,0.283,7,3.2,10.1,2.5,1,
Carmelo Anthony\anthoca01,PF,37,LAL,28,3,27.7,4.5,10.5,0.432,2.4,5.9,0.412,2.1,4.6,0.457,0.548,2,2.5,0.814,0.8,3.3,4.1,0.9,0.7,0.6,0.8,2.4,13.5,14.3,0.583,0.561,0.238,3.2,12.1,7.7,4.7,1.2,2,6.6,19.2,1.2,0.7,1.9,0.117,0.7,-1.7,-1,0.2,1,
Cole Anthony\anthoco01,PG,21,ORL,22,22,34.1,7,16.6,0.425,2.9,7.7,0.376,4.1,8.9,0.467,0.512,3.5,4,0.874,0.5,5.6,6.1,5.6,0.9,0.2,3,2.5,20.5,17.3,0.558,0.466,0.238,1.7,17.5,9.5,29.3,1.2,0.5,13.9,26.8,0.9,0.3,1.2,0.078,2.3,-1.7,0.7,0.5,1,
